library,nid,count,games
libSceAgcDriver,k0E7vkgqAuE,11,Afterimage-PPSA14053-EUR-Game-v01.000-PS5;Asterigos.Curse.of.The.Stars-PPSA08194-EUR-Game-v1.004.001-PS5;Dusk_Diver_2_01.000_PPSA06565;Hello.Neighbor.2-PPSA07426-EUR-Game-v01.000-PS5;Neko.Rescue.Tale-PPSA13871-EUR-Game__v01.000_-PS5;Octopath.Traveler.II-PPSA09809-EUR-Game-v01.000-PS5;PPSA02100_-__Stray;PPSA02787-app0;PPSA07653-app0;PPSA13356-app;The_Pathless_PS5_Dump_v2.000
libSceNpGameIntent,k0E7vkgqAuE,11,Afterimage-PPSA14053-EUR-Game-v01.000-PS5;Asterigos.Curse.of.The.Stars-PPSA08194-EUR-Game-v1.004.001-PS5;Dusk_Diver_2_01.000_PPSA06565;Hello.Neighbor.2-PPSA07426-EUR-Game-v01.000-PS5;Neko.Rescue.Tale-PPSA13871-EUR-Game__v01.000_-PS5;Octopath.Traveler.II-PPSA09809-EUR-Game-v01.000-PS5;PPSA02100_-__Stray;PPSA02787-app0;PPSA07653-app0;PPSA13356-app;The_Pathless_PS5_Dump_v2.000
libScePad,k0E7vkgqAuE,11,Afterimage-PPSA14053-EUR-Game-v01.000-PS5;Asterigos.Curse.of.The.Stars-PPSA08194-EUR-Game-v1.004.001-PS5;Dusk_Diver_2_01.000_PPSA06565;Hello.Neighbor.2-PPSA07426-EUR-Game-v01.000-PS5;Neko.Rescue.Tale-PPSA13871-EUR-Game__v01.000_-PS5;Octopath.Traveler.II-PPSA09809-EUR-Game-v01.000-PS5;PPSA02100_-__Stray;PPSA02787-app0;PPSA07653-app0;PPSA13356-app;The_Pathless_PS5_Dump_v2.000
Il2CppUserAssemblies,dZGYu5wObJs,7,Blue.Prince-PPSA25009-EUR-Game-_v01.008___APR-EMU_-PS5;Cat-Quest-III-PPSA15065-app;Juicy.Realm-PPSA19268-USA-Game__v01.000_-PS5;Metal.Slug.Tactics-PPSA20643-EUR-Game__v02.000_-PS5;Neva-PPSA16786-EUR-Game__v01.007_-PS5;Plumbers_DWT_PPSA17949-EUR-Game-v01.00-PS5;Totally.Reliable.Delivery.Service-PPSA28855-EUR-Game__v01.001_-PS5
Il2cppUserAssemblies,dZGYu5wObJs,7,Blue.Prince-PPSA25009-EUR-Game-_v01.008___APR-EMU_-PS5;Cat-Quest-III-PPSA15065-app;Juicy.Realm-PPSA19268-USA-Game__v01.000_-PS5;Metal.Slug.Tactics-PPSA20643-EUR-Game__v02.000_-PS5;Neva-PPSA16786-EUR-Game__v01.007_-PS5;Plumbers_DWT_PPSA17949-EUR-Game-v01.00-PS5;Totally.Reliable.Delivery.Service-PPSA28855-EUR-Game__v01.001_-PS5
Il2CppUserAssemblies,zlqfTyrQSPk,7,Blue.Prince-PPSA25009-EUR-Game-_v01.008___APR-EMU_-PS5;Cat-Quest-III-PPSA15065-app;Juicy.Realm-PPSA19268-USA-Game__v01.000_-PS5;Metal.Slug.Tactics-PPSA20643-EUR-Game__v02.000_-PS5;Neva-PPSA16786-EUR-Game__v01.007_-PS5;Plumbers_DWT_PPSA17949-EUR-Game-v01.00-PS5;Totally.Reliable.Delivery.Service-PPSA28855-EUR-Game__v01.001_-PS5
Il2cppUserAssemblies,zlqfTyrQSPk,7,Blue.Prince-PPSA25009-EUR-Game-_v01.008___APR-EMU_-PS5;Cat-Quest-III-PPSA15065-app;Juicy.Realm-PPSA19268-USA-Game__v01.000_-PS5;Metal.Slug.Tactics-PPSA20643-EUR-Game__v02.000_-PS5;Neva-PPSA16786-EUR-Game__v01.007_-PS5;Plumbers_DWT_PPSA17949-EUR-Game-v01.00-PS5;Totally.Reliable.Delivery.Service-PPSA28855-EUR-Game__v01.001_-PS5
libSceAgcDriver,JfoCWM1F50Q,4,Afterimage-PPSA14053-EUR-Game-v01.000-PS5;Asterigos.Curse.of.The.Stars-PPSA08194-EUR-Game-v1.004.001-PS5;Bugsnax_PS5_Dump_v2.000;Dusk_Diver_2_01.000_PPSA06565
libfmodstudio,JfoCWM1F50Q,4,Afterimage-PPSA14053-EUR-Game-v01.000-PS5;Asterigos.Curse.of.The.Stars-PPSA08194-EUR-Game-v1.004.001-PS5;Bugsnax_PS5_Dump_v2.000;Dusk_Diver_2_01.000_PPSA06565
libSceAgcDriver,ZlyXxXkCaq8,4,Afterimage-PPSA14053-EUR-Game-v01.000-PS5;Asterigos.Curse.of.The.Stars-PPSA08194-EUR-Game-v1.004.001-PS5;Bugsnax_PS5_Dump_v2.000;Dusk_Diver_2_01.000_PPSA06565
