# libSceAjm
-qLsfDAywIY sceAjmBatchWait
1t3ixYNXyuc sceAjmDecAt9ParseConfigData
39WxhR-ePew sceAjmBatchJobDecode
3cAg7xN995U sceAjmBatchJobGetStatistics
5LLWbpP5xi8 sceAjmBatchJobDecodeSingle
5ldnD16rYZw sceAjmBatchJobSetResampleParametersEx
5tOfnaClcqM sceAjmBatchStart
7FZsbyVRM4U sceAjmBatchJobControl
81HsnXFbWS4 sceAjmBatchJobSetResampleParameters
AxhcqVv5AYU sceAjmStrError
AxoDrINp4J8 sceAjmInstanceCreate
Ct3WeO240lw sceAjmGetFailedInstance
Esr9db8S1S0 sceAjmBatchJobGetGaplessDecode
JkdNCocpu1M sceAjmBatchJobGetResampleInfo
MHur6qCsUus sceAjmFinalize
MmpF1XsQiHw sceAjmBatchInitialize
NVDXiUesSbA sceAjmBatchCancel
Q3dyFuwGn64 sceAjmModuleRegister
QeaZORfh9GA sceAjmInstanceGetSize
RbLbuKv8zho sceAjmInstanceDestroy
SJ3i0DXP8vg sceAjmBatchJobDecodeSplit
SkEwpiu3tZg sceAjmBatchJobSetGaplessDecode
SlVIGK1Kl38 sceAjmBatchJobEncode
TBWW4aPfWcA sceAjmBatchJobGetInfo
WfAiBW8Wcek sceAjmBatchErrorDump
Wi7DtlLV+KI sceAjmModuleUnregister
YDFR0dDVGAg sceAjmInstanceExtend
Z9NVCesiP0Q sceAjmBatchJobRunSplit
bkRHEYG6lEM sceAjmMemoryRegister
dl+4eHSzUu4 sceAjmInitialize
eDFeTyi+G3Y sceAjmDecMp3ParseFrame
ezM2OhNxzck sceAjmBatchJobInitialize
jVCWcthifr8 sceAjmBatchJobRun
pIpGiaYkHkM sceAjmMemoryUnregister
rgLjmfdXocI sceAjmInstanceSwitch
uJ3m8INuikg sceAjmBatchJobClearContext
uSrXaxT+oPQ sceAjmBatchJobGetCodecInfo
1 stub library, 37 symbols
