# libSceAudio3d
-R1DukFq7Dk sceAudio3dGetSpeakerArrayMixCoefficients
-Re+pCWvwjQ sceAudio3dGetSpeakerArrayMixCoefficients2
1HXxo-+1qCw sceAudio3dObjectUnreserve
4uyHN9q4ZeU sceAudio3dObjectSetAttributes
7NYEzJ9SJbM sceAudio3dAudioOutOutput
8hm6YdoQgwg sceAudio3dDeleteSpeakerArray
9ZA23Ia46Po sceAudio3dPortGetAttributesSupported
9tEwE0GV0qo sceAudio3dBedWrite
Aacl5qkRU6U sceAudio3dStrError
HbxYY27lK6E sceAudio3dAudioOutOutputs
Im+jOoa5WAI sceAudio3dGetDefaultOpenParameters
Mw9mRQtWepY sceAudio3dPortDestroy
OyVqOeVNtSk sceAudio3dPortClose
UHFOgVNz0kk sceAudio3dPortCreate
UmCvjSmuZIw sceAudio3dInitialize
VEVhZ9qd4ZY sceAudio3dPortPush
WW1TS2iz5yc sceAudio3dTerminate
XeDDK0xJWQA sceAudio3dPortOpen
YaaDbDwKpFM sceAudio3dPortGetQueueLevel
Yq9bfUQ0uJg sceAudio3dPortSetAttribute
ZOGrxWLgQzE sceAudio3dPortFlush
iRX6GJs9tvE sceAudio3dPortGetStatus
jO2tec4dJ2M sceAudio3dObjectReserve
k1epkaA96XU sceAudio3dPortOpenEx
kEqqyDkmgdI sceAudio3dGetSpeakerArrayMemorySize
lvWMW6vEqFU sceAudio3dCreateSpeakerArray
lw0qrdSjZt8 sceAudio3dPortAdvance
pZlOm1aF3aA sceAudio3dAudioOutClose
ucEsi62soTo sceAudio3dAudioOutOpen
xH4Q9UILL3o sceAudio3dBedWrite2
1 stub library, 30 symbols
