# libSceVoice
54phPH2LZls sceVoiceStart
9TrhuGzberQ sceVoiceInit
Ao2YNSA7-Qo sceVoiceStop
CrLqDwWLoXM sceVoiceGetPortInfo
Dinob0yMRl8 sceVoicePausePortAll
IPHvnM5+g04 sceVoiceInitHQ
Oo0S5PH7FIQ sceVoiceEnd
Pc4z1QjForU sceVoiceGetMuteFlag
QBFoAIjJoXQ sceVoiceSetVolume
TexwmOHQsDg sceVoiceSetBitRate
YeJl6yDlhW0 sceVoiceWriteToIPort
Z6QV6j7igvE sceVoiceGetResourceInfo
ajVj3QG2um4 sceVoiceDisconnectIPortFromOPort
b7kJI+nx2hg sceVoiceDeletePort
cJLufzou6bc sceVoiceGetBitRate
cQ6DGsQEjV4 sceVoiceReadFromOPort
clyKUyi3RYU sceVoiceSetThreadsParams
elcxZTEfHZM sceVoiceGetPortAttr
gAgN+HkiEzY sceVoiceResumePort
gwUynkEgNFY sceVoiceSetMuteFlag
jSZNP7xJrcw sceVoiceUpdatePort
jbkJFmOZ9U0 sceVoiceResumePortAll
jjkCjneOYSs sceVoiceGetVolume
lLkJVewQK68 sceVoiceEnableChat
nXpje5yNpaE sceVoiceCreatePort
oUha0S-Ij9Q sceVoiceSetMuteFlagAll
oV9GAdJ23Gw sceVoiceConnectIPortToOPort
udAxvCePkUs sceVoiceResetPort
x0slGBQW+wY sceVoicePausePort
xHSNCLrQq3A sceVoiceDisableChat
1 stub library, 30 symbols
