# libSceImeBackend
-2B4DKWlSTY sceImeBackendGetConvertMode
3pxqefzM4mQ sceImeBackendConvertCancel
4YClXOfFOdk sceImeBackendTemporalConfirm
5KKsXg7EXi8 sceImeBackendPartConfirm
5yb0O2TsYvw sceImeBackendOpen
8BNxNGzXcIc sceImeBackendReset
9GIB91cj1wc sceImeBackendParamInit
BfYmnUyy0ew sceImeBackendClose
DxihSZ+xwsM sceImeBackendConvertForward
EYkbvZMNLvs sceImeBackendGetString
GB70BZwBCjI sceImeBackendConvertBackward
HbAX1cSb+hw sceImeBackendSetConvertMode
MTHPbVoNR0A sceImeBackendEnterCharacter
R+sqyC483ns sceImeBackendModeCaretPrevious
S+NgTvWVJLA sceImeBackendGetCandidateListSize
SrHBQhBty6Y sceImeBackendGetCandidateList
Xva83fZZ7D4 sceImeBackendGetCaretIndex
YzJnVHf+Jwo sceImeBackendModeCaretNext
ZBlJme+Kcgg sceImeBackendGetCandidateSelect
co7QF5zVjnY sceImeBackendGetConvertString
f22czPppTCQ sceImeBackendAllDeleteConvertString
mJlVV44ycU0 sceImeBackendDeleteCharacter
n0FeJgonoxQ sceImeBackendGetConfirmString
w99gsSH-nWA sceImeBackendGetStatus
x-mbDkDf0Fk sceImeBackendBackspaceCharacter
xbqCEIzvg3E sceImeBackendAllConfirm
1 stub library, 26 symbols
