# libc
++In3PHBZfw _Atomic_fetch_or_8
++NWMgKWsek _ZNSt8__sce_v26_WinitC1Ev
++ge3jYlHW8 _ZNKSt11logic_error4whatEv
+3PtYiUxl-U wctype
+5IOQncui3c _ZNKSt18bad_variant_access4whatEv
+5OuLYpRB28 _Dclass
+8jItptyeQQ _ZTVSi
+AqTGiV4vBA _ZNSt8__sce_v28_LDscaleEPel
+CnX+ZDO8qg _ZNSt12placeholders2_1E
+KSnjvZ0NMc srand48
+Le0VsFb9mE _ZTISt23_Generic_error_category
+Nc8JGdVLQs _ZNSt9exceptionD0Ev
+P6FRGH4LfA memmove
+Pxwa79wvyA _Z25sceLibcForceTlsDestructori
+ROCBP8cIyY _ZNSt8__sce_v25wcerrE
+RuThw5axA4 _ZNKSt8time_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEE3getES3_S3_RSt8ios_baseRNSt5_IosbIiE8_IostateEP2tmcc
+SeQg8c1WC0 _Flt
+TtUFzALoDc _ZTISt7codecvtIDic9_MbstatetE
+Uuj++A+I14 _ZTv0_n24_NSiD1Ev
+WLgzxv5xYA __sync_fetch_and_add_16
+WvmZi3216M _ZNSt13basic_filebufIwSt11char_traitsIwEE4syncEv
+X-5yNFPbDw __muloti4
+fAmL52-yfQ _ZNSt8__sce_v228_Cnd_register_at_thread_exitEPP12pthread_condPP13pthread_mutexPi
+hjXHfvy1Mg _ZNKSt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEE3getES3_S3_RSt8ios_baseRNSt5_IosbIiE8_IostateERd
+hlZqs-XpUM _ZTVSt7_MpunctIwE
+i81FtUCarA _ZNKSt8time_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEE6do_putES3_RSt8ios_basecPK2tmcc
+iy+BecyFVw __atomic_load
+kvyBGa+5VI __subvdi3
+my9jdHCMIQ atol
+qKS53qzWdA _ZNSt16nested_exceptionD1Ev
+qitMEbkSWk vsprintf_s
+qso2nVwQzg _ZTIPb
+tfKv1vt0QQ y0f
+uPwCGfmJHs _ZNKSt7codecvtIDsc9_MbstatetE5do_inERS0_PKcS4_RS4_PDsS6_RS6_
+wj27DzRPpo __umoddi3
+xU0WKT8mDc isalpha
+xoGf-x7nJA _Atomic_exchange_8
+yrOX7MgVlk _ZNSt8time_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEE5_TidyEv
-+RKa3As0gE _ZNSt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEC2Em
--fMWwCvo+c _ZTSSt8bad_cast
-1G1iE3KyGI _ZNSt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEED0Ev
-3ZujD7JX9c _Atomic_is_lock_free_8
-3pU5y1utmI _FExp
-431A-YBAks llrint
-7c7thUsi1c _ZTSPKd
-7nRJFXMxnM fputws
-7vr7t-uto8 _Atomic_thread_fence
-89UFw-Igq0 _ZNSt8__sce_v227_General_precision_tables_2IfE17_Ordinary_X_tableE
-9SIhUr4Iuo _Mbtowcx
-AmVeGEwTx0 _ZNSt8__sce_v28time_putIwNS_19ostreambuf_iteratorIwNS_11char_traitsIwEEEEE2idE
-B76wP6IeVA scanf_s
-Bl9-SZ2noc _ZNSt6_WinitC1Ev
-BwLPxElT7U _LFpcomp
-EgDt569OVo _Atomic_exchange_4
-EgSegeAKl4 _ZNSt6locale5facet7_IncrefEv
-GVEj2QODEI _Atomic_fetch_xor_4
-L+-8F0+gBc _ZTVSt13runtime_error
-LFO7jhD5CE ungetc
-P6FNMzk2Kc cosf
-Q6FYBO4sn0 nexttoward
-QgqOT5u2Vk _Assert
-UKRka-33sM _ZNSt20bad_array_new_lengthD0Ev
-VVn74ZyhEs difftime
-WAEp-LsQK8 _ZNSt8__sce_v25ctypeItE2idE
-Wq7Sj-ee9s _ZNSt13__sce_cxxvers16_Error_exceptionC1ERKS0_
-Zfr0ZQheg4 _Atomic_fetch_sub_1
-amctzWbEtw _ZNKSt8numpunctIwE12do_falsenameEv
-b+Avqa2v9k _ZNKSt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEE4_RepES3_wm
-cgB1bQG6jo _ZNSt12placeholders2_6E
-e-F9HjUFp8 fprintf_s
-g26XITGVgE strerrorlen_s
-hn1tcVHq5Q sceLibcMspaceCreate
