# libSceVoiceChat
07Dax1oKoV8 sceVoiceChatAbortRequest
0rKMjtnMATU sceVoiceChatRequestLeavePlayerSessionVoiceChatChannel
7bu++dneYUU sceVoiceChatRequestDeleteGameSessionVoiceChatChannel
8jiB8eq+BkM sceVoiceChatRequestCreateVoiceChatGroup
CscDZAFA5+c sceVoiceChatProcessEvent
FNzy4vvhlPY sceVoiceChatGetChatChannelMemberInfoList
Ptmkf9UnWBg sceVoiceChatRegisterHandlers
S+mOdmysfhw sceVoiceChatRequestLeaveGameSessionVoiceChatChannel
X3BWlTuErbk sceVoiceChatRequestJoinPlayerSessionVoiceChatChannel
X8PFsyb2UTk sceVoiceChatUnregisterMicEventHandler
ZpO7G7+nd2E sceVoiceChatRequestDeleteVoiceChatGroup
aT9KhNAu0RY sceVoiceChatRequestJoinVoiceChatGroup
ai3eCxzTopg sceVoiceChatGetMicState
ajXKK3BOVc8 sceVoiceChatRegisterMicEventHandler
eEMpsX1fGHU sceVoiceChatDeleteRequest
g3CyiTf6nMY sceVoiceChatGetChatGroupMemberInfoList
hR8-CKMl2JQ sceVoiceChatCreateRequest
hcB56mjq-i4 sceVoiceChatRequestUpdateGameSessionVoiceChatChannelName
hpG+mR4EbpE sceVoiceChatRequestJoinGameSessionVoiceChatChannel
iEEU+O+wPfM sceVoiceChatGetChannelMemberVoiceConnectionState
iaiPHdqpfdk sceVoiceChatRequestUpdatePlayerSessionVoiceChatChannelName
j43P62s5SX4 sceVoiceChatTerminate
po9eImAEhY4 sceVoiceChatRequestRegisterSession
q75YGaxUT3s sceVoiceChatRequestUnregisterSession
sW3km27c12M sceVoiceChatRequestCreatePlayerSessionVoiceChatChannel
spdS-hedavE sceVoiceChatInitialize
uWNeRp70BRw sceVoiceChatRequestLeaveVoiceChatGroup
wOgJGhjCAmw sceVoiceChatGetChannelMemberActiveChannelMatchingState
y7MgGX889Mo sceVoiceChatRequestCreateGameSessionVoiceChatChannel
zbKF-ejbR0Q sceVoiceChatRequestDeletePlayerSessionVoiceChatChannel
1 stub library, 30 symbols
