# libSceSaveData
2mfSRGdshtk sceSaveDataConvert
65VH0Qaaz6s sceSaveDataGetMountInfo
85zul--eGXs sceSaveDataSetParam
8EA5OMIL1lQ sceSaveDataGetConvertProgress
PHnuI4LhuRk sceSaveDataDirNameSearch2
QwOO7vegnV8 sceSaveDataGetSaveDataMemory2
RjMlsR8EXrw sceSaveDataTransferringMountPs4
S1GkePI17zQ sceSaveDataDelete
TywrFKCoLGY sceSaveDataInitialize3
WAzWTZm1H+I sceSaveDataTransferringMount
X4MYzukPc3g sceSaveDataDirNameSearchPs4
XgvSuIdnMlw sceSaveDataGetParam
Z7z6HXWORJY sceSaveDataSaveIconByPath
ZP4e7rlzOUk sceSaveDataMount3
c88Yy54Mx0w sceSaveDataSaveIcon
cGjO3wM3V28 sceSaveDataLoadIcon
cduy9v4YmT4 sceSaveDataSetSaveDataMemory2
dyIhnXq-0SM sceSaveDataDirNameSearch
e6y3WMBYbiM sceSaveDataCancel
gjRZNnw0JPE sceSaveDataCreateTransactionResource
ie7qhZ4X0Cc sceSaveDataCommit
j8xKtiFj0SY sceSaveDataGetEventResult
lJUQuaKqoKY sceSaveDataDeleteTransactionResource
oQySEUfgXRA sceSaveDataSetupSaveDataMemory2
sDCBrmc61XU sceSaveDataPrepare
uW4vfTwMQVo sceSaveDataUmount2
wiT9jeC7xPw sceSaveDataSyncSaveDataMemory
yKDy8S5yLA0 sceSaveDataTerminate
z1JA8-iJt3k sceSaveDataBackup
1 stub library, 29 symbols
