# libSceAgcDriver
+ADiO6FQvEA sceAgcDriverGetGpuPrintfWorkArea
+T8Xo6LtFJI sceAgcDriverAgrSubmitMultiDcbs
+TN0oRTBxJQ sceAgcDriverIsTraceInProgress
+b34-CLWc0s sceAgcDriverUserDataWritePushMarker
+iAOE3jCnkk sceAgcDriverSetSubmitValidationMode
-vc-xL+G8u0 sceAgcDriverUserDataWritePacket
04JRU1Uf8Ms sceAgcDriverModuleRegistration
0MtUJ3BpGhE sceAgcDriverGetWaitRenderingPacketSizeInDwords
1BUTwixUG5Y sceAgcDriverDebugHardwareStatus
1DXIHxWHZAQ sceAgcDriverCwsrResumeAcq
2PrsbRYyZi4 sceAgcDriverGetSetFlipPacketSizeInDwords
3AyTaWcF-H8 sceAgcDriverRegisterWorkloadStream
4XJkjqVrJrs sceAgcDriverGetAllocatedToolMemoryForGpuReset
5CdQTZIQPxM sceAgcDriverGetEqEventType
5l3IfCFJxBs sceAgcDriverFindResourcesPublic
6UzEidRZwkg sceAgcDriverSubmitMultiDcbs
8F5j7U-Bq6s sceAgcDriverSetValidationErrorOutputFrequency
AOLcoIkQDgM sceAgcDriverQueryResourceRegistrationUserMemoryRequirements
AU87qNukGi4 sceAgcDriverSetWorkloadStreamInactive
AhGvpITrf4M sceAgcDriverAgrSubmitDcb
BbI8si4o-fA sceAgcDriverSysSubmitFlipHandleProxy
C2yjkNdzbW4 sceAgcDriverIDHSSubmit
CP-kVAMmWVw sceAgcDriverGetRegShadowInfo
DDCQA2fPQj0 sceAgcDriverUnregisterGpuResetCallbacks
DL2RXaXOy88 sceAgcDriverDeleteEqEvent
Ddwk4gLT5j0 sceAgcDriverIsCaptureInProgress
EcaEt4nv8No sceAgcDriverSysGetGfxAppGpuResetStatus
F0Y42t-3e18 sceAgcDriverInitResourceRegistration
F0ZXt5q0ZTA sceAgcDriverGetDefaultOwner
FOwvmNlFLjM sceAgcDriverRequestCaptureStop
Fj7r9EHzF38 sceAgcDriverSubmitMultiCommandBuffers
HF3YllT3mXU sceAgcDriverSubmitMultiAcbs
HMnVBVUyajk sceAgcDriverIsPaDebug
Hj4eWnDektQ sceAgcDriverSetupRegisterShadow
ICaGtkEIXTk sceAgcDriverGetSubmitValidationConfig
K15VxhSJOfc sceAgcDriverIsSuspendPointInFlight
KtIXf8La96k sceAgcDriverRegisterGpuResetCallbacks
LEnn-4ARRJM sceAgcDriverUserDataWritePopMarker
LepGrgk77sM sceAgcDriverGetOwnerName
M9yBzRKkjPc sceAgcDriverGetResourceName
ME1eUot7+Qw sceAgcDriverGetRegShadowInfoAgr
MM4IZSEYytQ sceAgcDriverSetHsOffchipParam
NQLvUnSDyBU sceAgcDriverSetValueToSharedGds
NghWEUXp1qM sceAgcDriverGetResourceBaseAddressAndSizeInBytes
QcmHLO2n7mk sceAgcDriverSuspendPointSubmit
SAfhzJPcjuk sceAgcDriverRequestCaptureStart
SCoAN5fYlUM sceAgcDriverUnregisterAllResourcesForOwner
SOAMmdlyaIc sceAgcDriverCwsrSuspendAcq
SOo3Lwyglfo sceAgcDriverHp3dLockStart
T8xEHO2Y+XU sceAgcDriverAllocateToolMemoryForGpuReset
U9ueyEhSkF4 sceAgcDriverRegisterDefaultOwner
UM8rn9hRWrY sceAgcDriverTmpInitIdhs
UM9b9NunSrE sceAgcDriverSetWorkloadsActive
UglJIZjGssM sceAgcDriverSubmitDcb
Um-jkyDy9rI sceAgcDriverGetReservedDmemForAgc
VOMSpd9+vxU sceAgcDriverSetResourceUserData
VhLnEiTuuWo sceAgcDriverUserDataGetPacketSize
W5z4eZrjEas sceAgcDriverRegisterResource
