# libSceAudioPropagation
-wsUTr31yeg sceAudioPropagationSourceSetAttributes
5vzOS2pHMFc sceAudioPropagationSourceSetAudioPaths
7xyAxrusLko sceAudioPropagationSystemQueryMemory
8bI5h8req30 sceAudioPropagationRoomCreate
BbOT4vBwAjs sceAudioPropagationResetAttributes
CPLV6G-eXmk sceAudioPropagationSystemRegisterMaterial
G+QLTfyLMYk sceAudioPropagationSourceGetAudioPathCount
PBcrVpEqUVY sceAudioPropagationSourceCalculateAudioPaths
S0JwP2AFTTE sceAudioPropagationRoomDestroy
VlBT16890mA sceAudioPropagationSystemSetRays
WXMhENV2NcA sceAudioPropagationPortalSetAttributes
XKCN4gpeYsM sceAudioPropagationSystemUnregisterMaterial
ZQXE-xS6MTE sceAudioPropagationPortalDestroy
aKJZx7wCma8 sceAudioPropagationSourceGetRays
aNEqtSHdUSo sceAudioPropagationSystemCreate
b-dYXrjSNZU sceAudioPropagationPortalCreate
d84otraxt2s sceAudioPropagationSourceCreate
eEeKqFeNI3o sceAudioPropagationSourceGetAudioPath
hhz9pITnC8k sceAudioPropagationSourceRender
ht-QXT3zGxo sceAudioPropagationSystemGetRays
kIdb+iQUzCs sceAudioPropagationSystemSetAttributes
tKSmk2JsMAA sceAudioPropagationSourceSetAudioPath
tL2AEPejVQE sceAudioPropagationPathGetNumPoints
wkseM3LWPuc sceAudioPropagationSourceDestroy
x5VPqg5iyAk sceAudioPropagationSystemDestroy
1 stub library, 25 symbols
