# libSceDbg_nosubmission
1Qy1jn47QWA sceDbgUserChannelPrint
4F7uYHxulZ4 sceDbgAmprAprGetNumberOfErrors
4OqKr5iYCqI sceDbgMapperVirtualQuery
5huYgqy73xo sceDbgUserChannelPrintf
5sBISBR0ooA sceDbgAssertionHandler
B4c4qfm3m2c sceDbgGetSystemSwVersion
BxQv1DSUaeY sceDbgSetBreakOnWarningState
CXoCR22n86Q sceDbgSetBreakOnErrorState
Fhc+DypKzcU sceDbgDeleteExternalTriggerEvent
FvI50-3hoSo sceDbgAmprAmmGetNumberOfErrors
G4c6av2TDtc sceDbgGetModuleInfo
GDX5XhnWKrw sceDbgBacktraceSelf
HNRCEumA2V8 sceDbgAmprAmmGetErrors
He3luzgOL-w sceDbgGetDebugSuspendCount
MltFJdH0xRM sceDbgUserChannelVPrintf
OaQI1HqFAtk sceDbgSetMinimumLogLevel
PvIP303tQx4 sceDbgGetModuleList
Q-m9mL4Yznw sceDbgClearHardwareBreakPoint
SxSEAtl-vow sceDbgAddExternalTriggerEvent
To9mmGL+3G8 sceDbgLoggingHandler
WBQJDbBxH3E sceDbgEnableExtraHeapDebugInfo
ddYgzamMD2U sceDbgAmprAprGetErrors
ie2v2DfofTs sceDbgVLoggingHandler
jaYypweDbyA sceDbgGetReleaseCheckMode
kwELJE1qN0o sceDbgSetHardwareBreakPoint
ta-oGegHdTQ sceDbgGetExecutablePath
uhJ+bSomPoE sceDbgGetCpuGpuFrequencySetting
v6OElL4DxCo sceDbgRequireSystemSwVersion
v9ERBDafV60 sceDbgIsDebuggerAttached
1 stub library, 29 symbols
