# libSceNpManager
+4DegjBqV1g sceNpGetAccountAge
+yqjab2fUJA sceNpRegisterPremiumEventCallback
-QglDeRr8D8 sceNpSetTimeout
-Rjp3-YViXc sceNpUnregisterPremiumEventCallback
3Tcz5bNCfZQ sceNpGetAccountLanguage2
3Zl8BePTh9Y sceNpCheckCallback
41gDrpv1pTw sceNpSetAdditionalScope
Ec63y59l9tw sceNpSetNpTitleId
GpLQDNKICac sceNpCreateRequest
JT+t00a3TxA sceNpGetAccountCountryA
KfGZg2y73oM sceNpCheckNpReachability
M3wFXbYQtAA sceNpUnregisterStateCallbackA
O80NrhUOPGY sceNpCheckPremium
Oad3rvY-NJQ sceNpHasSignedUp
OzKvTvg3ZYU sceNpAbortRequest
P6piso307SE sceNpNotifyPremiumFeature
S7QTn72PrDw sceNpDeleteRequest
VgYczPGB5ss sceNpGetUserIdByAccountId
XDncXQIJUSk sceNpGetOnlineId
cRILAEvn+9M sceNpUnregisterNpReachabilityStateCallback
e-ZuhGEoeC4 sceNpGetNpReachabilityState
eQH7nWPcAgc sceNpGetState
eiqMCt9UshI sceNpCreateAsyncRequest
hw5KNqAAels sceNpRegisterNpReachabilityStateCallback
jyi5p9XWUSs sceNpWaitAsync
qQJfO8HAiaY sceNpRegisterStateCallbackA
rbknaUjpqWo sceNpGetAccountIdA
uqcPJLWL08M sceNpPollAsync
1 stub library, 28 symbols
