# libScePad
2JgFB2n9oUM scePadSetTriggerEffect
306mCg0ibh8 scePadVrControllerRead
6Cdc9bbjrRY scePadVrControllerSetTriggerEffect
6ncge5+l5Qs scePadClose
AVr6AKXGc0M scePadVrControllerGetTriggerEffectStates
AcslpN1jHR8 scePadDeviceClassGetExtendedInformation
DGCwN1Lmmys scePadVrControllerSetVibration
DscD1i9HX1w scePadResetLightBar
F9iDGS9ddCM scePadLastLotusButtonData
IHPqcbc0zCA scePadDeviceClassParseData
KLmYx9ij2h0 scePadSetAngularVelocityBiasCorrectionState
OL2CJ2idmhk scePadVrControllerGetTriggerEffectState
RR4novUEENY scePadSetLightBar
TABucyiW6AQ scePadVrControllerReadCombinedState
W2G-yoyMF5U scePadSetVibrationMode
Wf6-PNCyY20 scePadVrControllerSetVibrationMode
YndgXqQVV7c scePadReadState
Yq0zOH7YNOM scePadSetVibrationTriggerEffectWeakWhileEmbeddedMicInUse
clVvL4ZDntw scePadSetMotionSensorState
fCWdlnmB1Ks scePadIsRemoteController
gjP9-KQzoUk scePadGetControllerInformation
hv1luiJrqQM scePadInit
iA-DdobUen8 scePadVrControllerReadState
mbJHDdjhVeY scePadVrControllerGetDeviceInformation
q1cHNfGycLI scePadRead
r44mAxdSG+U scePadSetAngularVelocityDeadbandState
rIZnR6eSpvk scePadResetOrientation
u1GRHp+oWoY scePadGetHandle
v8P+9PRqg10 scePadVrControllerSetTriggerEffects
vDLMoJLde8I scePadSetTiltCorrectionState
xk0AcarP3V4 scePadOpen
yFVnOdGxvZY scePadSetVibration
znaWI0gpuo8 scePadGetTriggerEffectState
1 stub library, 33 symbols
