# libSceRtc
-5y2uJ62qS8 sceRtcTickAddYears
07O525HgICs sceRtcTickAddSeconds
18B2NS1y9UU sceRtcGetCurrentTick
3O7Ln8AqJ1o sceRtcGetDaysInMonth
8SljQx6pDP8 sceRtcEnd
8Yr143yEnRo sceRtcConvertLocalTimeToUtc
8lfvnRMqwEM sceRtcGetCurrentClock
8w-H19ip48I sceRtcGetTick
99bMGglFW3I sceRtcParseRFC3339
AqVMssr52Rc sceRtcTickAddTicks
AxHBk3eat04 sceRtcFormatRFC2822LocalTime
BtqmpTRXHgk sceRtcGetTime_t
CL6y9q-XbuQ sceRtcTickAddMonths
CyIK-i4XdgQ sceRtcGetDayOfWeek
DwuHIlLGW8I sceRtcFormatRFC3339LocalTime
E7AR4o7Ny7E sceRtcGetDosTime
LlodCMDbk3o sceRtcInit
M1TvFst-jrM sceRtcConvertUtcToLocalTime
MDc5cd8HfCA sceRtcTickAddHours
NR1J0N7L2xY sceRtcTickAddDays
NxEI1KByvCI sceRtcParseDateTime
Ug8pCwQvh0c sceRtcIsLeapYear
WJ3rqFwymew sceRtcFormatRFC3339
XPIiw58C+GM sceRtcTickAddMicroseconds
ZPD1YOKI+Kw sceRtcGetCurrentClockLocalTime
aYPCd1cChyg sceRtcSetDosTime
bDEVVP4bTjQ sceRtcSetTime_t
eiuobaF-hK4 sceRtcFormatRFC2822
fNaZ4DbzHAE sceRtcCompareTick
gI4t194c2W8 sceRtcTickAddWeeks
jMNwqYr4R-k sceRtcGetTickResolution
jfRO0uTjtzA sceRtcGetWin32FileTime
lPEBYdVX0XQ sceRtcCheckValid
lja0nNPWojg sceRtcFormatRFC3339Precise
mn-tf4QiFzk sceRtcTickAddMinutes
n5JiAJXsbcs sceRtcSetWin32FileTime
tOZ6fwwHZOA sceRtcFormatRFC3339PreciseLocalTime
ueega6v3GUw sceRtcSetTick
zO9UL3qIINQ sceRtcGetCurrentNetworkTick
1 stub library, 39 symbols
