# libSceVideoOut
+I4K03i3EL0 sceVideoOutInitializeOutputOptions
-Ozn0F1AFRg sceVideoOutDeleteFlipEvent
-zRnJ7WoWSY sceVideoOutSetAlphaControl
1FZBKy8HeNU sceVideoOutGetVblankStatus
5tRaBjtdTzY sceVideoOutVrrPegToFixedRate
CBiu4mCE1DA sceVideoOutSetFlipRate
DYhhWbJSeRg sceVideoOutColorSettingsSetGamma_
Ek+VR4lcJQI sceVideoOutSysAddVblankEvent
HXzjK9yI30k sceVideoOutAddFlipEvent
HuViW4HnrOw sceVideoOutSubmitChangeBufferAttribute2
JpAYkddCFjk sceVideoOutColorSpaceConversionSettingsSetDefaultSdrToHdrConversion_
MBlv8YWoyOk sceVideoOutAddBufferAttributeOption
MCJ8SkzsQxY sceVideoOutLatencyMeasureSetStartPoint
MTxxrOCeSig sceVideoOutSetWindowModeMargins
Mt4QHHkxkOc sceVideoOutGetEventCount
N5KDtkIjjJ4 sceVideoOutUnregisterBuffers
Nv8c-Kb+DUM sceVideoOutIsOutputSupported
PjS5uASwcV8 sceVideoOutSetBufferAttribute2
SbU3dwp80lQ sceVideoOutGetFlipStatus
T0ynQY3mH-0 sceVideoOutClearFlipMaster
T4ucGB8CsnM sceVideoOutVrrUnpegFromFixedRate
U2JJtSqNKZI sceVideoOutGetEventId
U46NwOiJpys sceVideoOutSubmitFlip
Up36PTk687E sceVideoOutOpen
WkYtyOg30do sceVideoOutSetFlipMaster
Xru92wHJRmg sceVideoOutAddVblankEvent
Yn8KT+VTZaE sceVideoOutColorSpaceConversionSettingsSetSdrToHdrConversion_
dYDAfB+cJEU sceVideoOutAdjustColorSpaceConversion_
eb-gvTYQcoY sceVideoOutLatencyControlWaitBeforeInput
elWQ9vERF-Q sceVideoOutDeletePreVblankStartEvent
j6RaAUlaLv0 sceVideoOutWaitVblank
k4Ak+e2D1Hg sceVideoOutRemoveBufferAttributeOption
keipklF0pMY sceVideoOutAddPreVblankStartEvent
kmSe30JTs+E sceVideoOutAddOutputModeEvent
oNOQn3knW6s sceVideoOutDeleteVblankEvent
pA8xxaySl7A sceVideoOutSetGlobalBlendSpace
pv9CI5VC+R0 sceVideoOutAdjustColor_
rKBUtgRrtbk sceVideoOutRegisterBuffers2
rWUTcKdkUzQ sceVideoOutGetEventData
uquVH4-Du78 sceVideoOutClose
utPrVdxio-8 sceVideoOutGetOutputStatus
vwtVpHQKelI sceVideoOutDeleteOutputModeEvent
w0hLuNarQxY sceVideoOutConfigureOutput
w7Ipp9Xl7hg sceVideoOutAllowOutputResolutionWqhdDetection
zgXifHT9ErY sceVideoOutIsFlipPending
1 stub library, 45 symbols
