# libSceVoiceQoS
2lOJJzw1t5o sceVoiceQoSEnableChat
3vmrvQ4rvgs sceVoiceQoSGetRemoteEndpointAttribute
8-voJZab+0E sceVoiceQoSDisableChat
9tfy4+aDxrM sceVoiceQoSGetRemoteEndpoint
ATRGkmbolVM sceVoiceQoSEnd
D7P8dL0ZKsI sceVoiceQoSDebugGetStatus
F7wS7FbfumQ sceVoiceQoSSetLocalEndpointAttribute
H4zqFaDhHW4 sceVoiceQoSDeleteRemoteEndpoint
KCGOxg8iX7s sceVoiceQoSSetConnectionAttribute
PWokFqab5q4 sceVoiceQoSReadPacket
RY0c7tYVBiw sceVoiceQoSInitHQ
SpxLratrO1Q sceVoiceQoSWritePacket
Trpt2QBZHCI sceVoiceQoSGetStatus
U8IfNl6-Css sceVoiceQoSInit
XPC8EyEuvyk sceVoiceQoSGetLocalEndpoint
XmvdN3atbXY sceVoiceQoSGetConnectionAttribute
cpC-zyHoMik sceVoiceQoSSetRemoteEndpointAttribute
eZu2RP0Ma3w sceVoiceQoSGetLocalEndpointAttribute
iqQQW2cBmWU sceVoiceQoSCreateRemoteEndpoint
j9Xt85krooc sceVoiceQoSDisconnect
kE0kdvcHTiY sceVoiceQoSDeleteLocalEndpoint
kLU6hhXsa2A sceVoiceQoSConnect
lvNClhNHzxI sceVoiceQoSCreateLocalEndpoint
1 stub library, 23 symbols
