# libSceVdecsw
+L5ArV1tPGA sceVdecswCreateDecoder
0moTubWCsTM sceVdecswQueryComputeMemoryInfo
5Y6nZqIZvBg sceVdecswFinalizeDecodeSequence
A+2M7EivuOU sceVdecswQueryDecoderMemoryInfo
AAMM-Q1X0g0 sceVdecswSyncDecodeInput
FzECy3Wxxas sceVdecswGetPictureInfo
LEqH+dkMszo sceVdecswGetVp9PictureInfo
PzF+L5zXoyg sceVdecswGetHevcPictureInfo
aqMiF0AgUYI sceVdecswSetDecodeInput
ecUtPX+dBYk sceVdecswDeleteDecoder
fX-zOOefbbs sceVdecswReleaseComputeQueue
hIgrg5h4V6s sceVdecswAllocateComputeQueue
ihNT-uuEAr4 sceVdecswGetAvcPictureInfo
kMBw37oH8nI sceVdecswTrySyncDecodeOutput
l4sQYy5wPkc sceVdecswTrySyncDecodeInput
rgtMCOpyBSc sceVdecswSetDecodeOutput
tWiSgXov8GM sceVdecswSyncDecodeOutput
veb-YBrOqo0 sceVdecswResetDecoder
# libSceVideoOut
+I4K03i3EL0 sceVideoOutInitializeOutputOptions
-Ozn0F1AFRg sceVideoOutDeleteFlipEvent
-zRnJ7WoWSY sceVideoOutSetAlphaControl
1FZBKy8HeNU sceVideoOutGetVblankStatus
5tRaBjtdTzY sceVideoOutVrrPegToFixedRate
CBiu4mCE1DA sceVideoOutSetFlipRate
DYhhWbJSeRg sceVideoOutColorSettingsSetGamma_
Ek+VR4lcJQI sceVideoOutSysAddVblankEvent
HXzjK9yI30k sceVideoOutAddFlipEvent
HuViW4HnrOw sceVideoOutSubmitChangeBufferAttribute2
JpAYkddCFjk sceVideoOutColorSpaceConversionSettingsSetDefaultSdrToHdrConversion_
MBlv8YWoyOk sceVideoOutAddBufferAttributeOption
MCJ8SkzsQxY sceVideoOutLatencyMeasureSetStartPoint
MTxxrOCeSig sceVideoOutSetWindowModeMargins
Mt4QHHkxkOc sceVideoOutGetEventCount
N5KDtkIjjJ4 sceVideoOutUnregisterBuffers
Nv8c-Kb+DUM sceVideoOutIsOutputSupported
PjS5uASwcV8 sceVideoOutSetBufferAttribute2
SbU3dwp80lQ sceVideoOutGetFlipStatus
T0ynQY3mH-0 sceVideoOutClearFlipMaster
T4ucGB8CsnM sceVideoOutVrrUnpegFromFixedRate
U2JJtSqNKZI sceVideoOutGetEventId
U46NwOiJpys sceVideoOutSubmitFlip
Up36PTk687E sceVideoOutOpen
WkYtyOg30do sceVideoOutSetFlipMaster
Xru92wHJRmg sceVideoOutAddVblankEvent
Yn8KT+VTZaE sceVideoOutColorSpaceConversionSettingsSetSdrToHdrConversion_
dYDAfB+cJEU sceVideoOutAdjustColorSpaceConversion_
eb-gvTYQcoY sceVideoOutLatencyControlWaitBeforeInput
elWQ9vERF-Q sceVideoOutDeletePreVblankStartEvent
j6RaAUlaLv0 sceVideoOutWaitVblank
k4Ak+e2D1Hg sceVideoOutRemoveBufferAttributeOption
keipklF0pMY sceVideoOutAddPreVblankStartEvent
kmSe30JTs+E sceVideoOutAddOutputModeEvent
oNOQn3knW6s sceVideoOutDeleteVblankEvent
pA8xxaySl7A sceVideoOutSetGlobalBlendSpace
pv9CI5VC+R0 sceVideoOutAdjustColor_
rKBUtgRrtbk sceVideoOutRegisterBuffers2
rWUTcKdkUzQ sceVideoOutGetEventData
uquVH4-Du78 sceVideoOutClose
utPrVdxio-8 sceVideoOutGetOutputStatus
vwtVpHQKelI sceVideoOutDeleteOutputModeEvent
w0hLuNarQxY sceVideoOutConfigureOutput
w7Ipp9Xl7hg sceVideoOutAllowOutputResolutionWqhdDetection
zgXifHT9ErY sceVideoOutIsFlipPending
# libSceVideoOut_nosubmission
BTawastvk7s sceVideoOutDebugLatencyMeasureGetLatestLatency
# libSceVideoRecording_nosubmission
7QoTYzVuzto sceVideoRecordingOpen
KHvkPQJDMLk sceVideoRecordingClose
KQ34-uHDBto _sceVideoRecordingQueryParam
OOFxrMY+mfI sceVideoRecordingStop
ZvWzS2wTIMc sceVideoRecordingQueryMemSize
fZJQzFK4Gv4 sceVideoRecordingGetStatus
tWoe9IlGAhs sceVideoRecordingStart
# libSceVideodec2
69fVNDtk2Zk sceVideodec2GetVp9PictureInfo
7M+1UFqWOAI sceVideodec2GetHevcPictureInfo
852F5+q6+iM sceVideodec2Decode
CNNRoRYd8XI sceVideodec2CreateDecoder
NtXRa3dRzU0 sceVideodec2GetPictureInfo
RnDibcGCPKw sceVideodec2QueryComputeMemoryInfo
UvtA3FAiF4Y sceVideodec2ReleaseComputeQueue
eD+X2SmxUt4 sceVideodec2AllocateComputeQueue
jwImxXRGSKA sceVideodec2DeleteDecoder
kjrLbcyhEiw sceVideodec2GetAvcPictureInfo
l1hXwscLuCY sceVideodec2Flush
qqMCwlULR+E sceVideodec2QueryDecoderMemoryInfo
wJXikG6QFN8 sceVideodec2Reset
5 stub libraries, 84 symbols
