# libSceConvertKeycode
QjGCaJbRib4 sceConvertKeycodeGetCharacter
S-Gni2KIJRY sceConvertKeycodeGetCharacterFromKeyboardData
mUuUOWI-C+0 sceConvertKeycodeGetImeKeyboardType
vIsoJsLvvlM sceConvertKeycodeGetVirtualKeycode
# libSceHmd2
+rExHeC9lP0 sceHmd2GazeObjectSelectionInitialize
+seEJVlljr0 sceHmd2ReprojectionSetMirroringOption
-C2nkoEYOnU sceHmd2ReprojectionQueryDisplayBufferSizeAlign
4BlE4IPXP0Q sceHmd2GetDeviceInformationByHandle
4Q11W4M2h5Q sceHmd2ReprojectionTerminate
64ERZWVFBTE sceHmd2ReprojectionSetUserEventEnd
8GkaY2B7opM sceHmd2ReprojectionGetStatus
Al4qjNREVQQ sceHmd2SetVibration
C0rPwER-yxg sceHmd2ReprojectionInitialize
DIwqTkcZiJo sceHmd2ReprojectionSetUserEventStart
E+b+c1Idyew sceHmd2GetFieldOfView
FkQX7rjFomk sceHmd2ReprojectionSetTiming
JWBl3Uq6q8k sceHmd2ReprojectionQuerySeeThroughBufferSizeAlign
LxPIfjHaY4c sceHmd2GazeObjectSelectionQueryMemory
Ocf081WpBpA sceHmd2ReprojectionBeginFrame
Pb1d+j-bBSc sceHmd2ReprojectionGetMirroringWorkMemorySizeAlign
QU2M1pPNbaY sceHmd2Terminate
Qx7SkcgAzok sceHmd2ReprojectionEnableMirroring
QxBJF-G2v5k sceHmd2ReprojectionSetParamWithBuffer
SVEG+1D7qHA sceHmd2ReprojectionGetPredictedDisplayTime
U-CnbmeyYaA sceHmd2ReprojectionQueryBufferSizeAlign
V1kLQmP-17U sceHmd2GazeObjectSelectionTerminate
VVvFh51o20s sceHmd2ReprojectionEnableVrMode
asilo8VNGvg sceHmd2ReprojectionDisableMirroring
bIi4YUfSRys sceHmd2GetDeviceInformation
c812oYs7Vsc sceHmd2Initialize
f3kPeoTZnIE sceHmd2Open
gF8+lvc7GuQ sceHmd2GetFieldOfViewWithoutHandle
hA9LshbSkzw sceHmd2ReprojectionSetRenderConfig
lAoFUedcfqA sceHmd2GazeGetResult
oPhtjySuHa8 sceHmd2Close
retc+-uRMhk sceHmd2GazeGetResultForFoveatedRendering
rjAd4nCY4DM sceHmd2ReprojectionClearUserEventEnd
uv0Ae+jCeWY sceHmd2ReprojectionSetAllowPositionalReprojection
w8gBTTdg+po sceHmd2GazeObjectSelectionGetSelectedObject
wEO+gMHs9NU sceHmd2ReprojectionGetMirroringDisplayBufferSizeAlign
wj1kOyNF4vM sceHmd2ReprojectionDisableVrMode
xMo9ENEu2E0 sceHmd2ReprojectionSetParam
z0+0gXUJWs8 sceHmd2ReprojectionClearUserEventStart
# libSceHmd2Reprojection_nosubmission
Acyg4vTdGm0 sceHmd2ReprojectionGetCurrentOutput
# libSceIme
-4GCfYdNF1s sceImeUpdate
E+f1n8e8DAw sceImeDisableController
PMVehSlfZ94 sceImeKeyboardClose
RPydv-Jr1bc sceImeOpen
T6FYjZXG93o sceImeGetPanelPositionAndForm
TQaogSaqkEk sceImeSetCandidateIndex
TXYHFRuL8UY sceImeSetTextGeometry
TmVP8LzcFcY sceImeClose
VkqLPArfFdc sceImeKeyboardGetInfo
WLxUN2WMim8 sceImeSetCaret
WmYDzdC4EHI sceImeParamInit
dKadqZFgKKQ sceImeKeyboardGetResourceId
eaFXjfJv3xs sceImeKeyboardOpen
ieCNrVrzKd4 sceImeSetText
tKLmVIUkpyM sceImeConfirmCandidate
ua+13Hk9kKs sceImeKeyboardSetMode
ziPDcIjO0Vk sceImeGetPanelSize
# libSceImeBackend
-2B4DKWlSTY sceImeBackendGetConvertMode
3pxqefzM4mQ sceImeBackendConvertCancel
4YClXOfFOdk sceImeBackendTemporalConfirm
5KKsXg7EXi8 sceImeBackendPartConfirm
5yb0O2TsYvw sceImeBackendOpen
8BNxNGzXcIc sceImeBackendReset
9GIB91cj1wc sceImeBackendParamInit
BfYmnUyy0ew sceImeBackendClose
DxihSZ+xwsM sceImeBackendConvertForward
EYkbvZMNLvs sceImeBackendGetString
GB70BZwBCjI sceImeBackendConvertBackward
HbAX1cSb+hw sceImeBackendSetConvertMode
MTHPbVoNR0A sceImeBackendEnterCharacter
R+sqyC483ns sceImeBackendModeCaretPrevious
S+NgTvWVJLA sceImeBackendGetCandidateListSize
SrHBQhBty6Y sceImeBackendGetCandidateList
Xva83fZZ7D4 sceImeBackendGetCaretIndex
YzJnVHf+Jwo sceImeBackendModeCaretNext
ZBlJme+Kcgg sceImeBackendGetCandidateSelect
co7QF5zVjnY sceImeBackendGetConvertString
f22czPppTCQ sceImeBackendAllDeleteConvertString
mJlVV44ycU0 sceImeBackendDeleteCharacter
n0FeJgonoxQ sceImeBackendGetConfirmString
w99gsSH-nWA sceImeBackendGetStatus
x-mbDkDf0Fk sceImeBackendBackspaceCharacter
xbqCEIzvg3E sceImeBackendAllConfirm
# libSceKeyboard
0LWei+c7RNc sceKeyboardClose
6HpE68bzX6M sceKeyboardReadState
HJ+KnEHcaxI sceKeyboardOpen
se0KYvZSzg8 sceKeyboardGetHandle
wadT3QBCGY0 sceKeyboardInit
xybbGMCr738 sceKeyboardRead
yO9JwdRhtSA sceKeyboardGetKey2Char
# libSceMouse
If6YTBcYAbc sceMouseReadAbsolutePosition
P+9UQOe1F2g sceMouseGetHandle
Qs0wWulgl7U sceMouseInit
RaqxZIf6DvE sceMouseOpen
c59jEdE4wzY sceMouseResetAbsolutePosition
cAnT0Rw-IwU sceMouseClose
oB2fBhW84tQ sceMouseSetAbsoluteVirtualScreenSize
stCCyzJJyM0 sceMouseSetAbsoluteHighPrecisionMode
x8qnXqh-tiM sceMouseRead
# libSceMouseExtension_nosubmission
2KVa2-HqIRs sceMouseExtensionSetCursor
CvUnq1gsWMg sceMouseExtensionReadState
GE+ZU2Y9pEs sceMouseExtensionScalePosition
T4BHUjH773k sceMouseExtensionSetConfig
UBO+tFHvcyE sceMouseExtensionGetCursor
doRbAW89lZE sceMouseExtensionRead
# libScePad
2JgFB2n9oUM scePadSetTriggerEffect
306mCg0ibh8 scePadVrControllerRead
6Cdc9bbjrRY scePadVrControllerSetTriggerEffect
6ncge5+l5Qs scePadClose
AVr6AKXGc0M scePadVrControllerGetTriggerEffectStates
AcslpN1jHR8 scePadDeviceClassGetExtendedInformation
DGCwN1Lmmys scePadVrControllerSetVibration
DscD1i9HX1w scePadResetLightBar
F9iDGS9ddCM scePadLastLotusButtonData
IHPqcbc0zCA scePadDeviceClassParseData
KLmYx9ij2h0 scePadSetAngularVelocityBiasCorrectionState
OL2CJ2idmhk scePadVrControllerGetTriggerEffectState
RR4novUEENY scePadSetLightBar
TABucyiW6AQ scePadVrControllerReadCombinedState
W2G-yoyMF5U scePadSetVibrationMode
Wf6-PNCyY20 scePadVrControllerSetVibrationMode
YndgXqQVV7c scePadReadState
Yq0zOH7YNOM scePadSetVibrationTriggerEffectWeakWhileEmbeddedMicInUse
clVvL4ZDntw scePadSetMotionSensorState
fCWdlnmB1Ks scePadIsRemoteController
gjP9-KQzoUk scePadGetControllerInformation
hv1luiJrqQM scePadInit
iA-DdobUen8 scePadVrControllerReadState
mbJHDdjhVeY scePadVrControllerGetDeviceInformation
q1cHNfGycLI scePadRead
r44mAxdSG+U scePadSetAngularVelocityDeadbandState
rIZnR6eSpvk scePadResetOrientation
u1GRHp+oWoY scePadGetHandle
v8P+9PRqg10 scePadVrControllerSetTriggerEffects
vDLMoJLde8I scePadSetTiltCorrectionState
xk0AcarP3V4 scePadOpen
yFVnOdGxvZY scePadSetVibration
znaWI0gpuo8 scePadGetTriggerEffectState
# libSceVrHand
-iqDAXQlXew sceVrHandInitialize
-wppX82q8dk sceVrHandFinalize
EG4LeoZJ+mY sceVrHandQueryMemory
HK2JUFv2RJE sceVrHandGetMeshSize
ZRe6rlaz1wY sceVrHandStart
kqcnvHb39ls sceVrHandGetMesh
lt1WXVXcyxk sceVrHandGetResult
z1EUL+LMJ+8 sceVrHandStop
# libSceVrTracker2
6Jy73SRfG-o sceVrTracker2Initialize
DSTergmOvvE sceVrTracker2CheckDeviceIsInsidePlayAreaBoundary
Dog+g25QYjw sceVrTracker2RegisterDevice
HDlD-xE1Xuk sceVrTracker2ResetLocalCoordinateWithPose
IGdE6nsMTAY sceVrTracker2CheckPointIsInsidePlayAreaBoundary
IQ3UD6SZbXo sceVrTracker2Finalize
IdI2f+xHIeA sceVrTracker2ResetLocalCoordinate
J4Vh3VVX0iU sceVrTracker2GetResult
SCph4ZbkqzU sceVrTracker2GetPlayAreaBoundaryGeometry
TwqZnaIjWv4 sceVrTracker2QueryMemory
UVCMLmS-Eas sceVrTracker2SetCoordinateSystem
Y-3JCiU9bbU sceVrTracker2GetCoordinateSystem
f7G97dWnEis sceVrTracker2LocateCoordinateSystem
kFt4MB3SUEk sceVrTracker2UnregisterDevice
snYs7Nf-RKk sceVrTracker2GetPlayAreaOrientedBoundingBox
11 stub libraries, 165 symbols
