# libSceAppContent
3rHWaV-1KC4 sceAppContentAddcontUnmount
5bvvbUSiFs4 sceAppContentGetAddcontDownloadProgress
7gxh+5QubhY sceAppContentAddcontEnqueueDownload
99b82IKXpH4 sceAppContentAppParamGetInt
CN7EbEV7MFU sceAppContentDownloadDataFormat
Gl6w5i0JokY sceAppContentDownloadDataGetAvailableSpaceKb
R9lA82OraNs sceAppContentInitialize
SaKib2Ug0yI sceAppContentTemporaryDataGetAvailableSpaceKb
VANhIWcqYak sceAppContentAddcontMount
ZiATpP9gEkA sceAppContentAddcontDelete
a5N7lAG0y2Q sceAppContentTemporaryDataFormat
bcolXMmp6qQ sceAppContentTemporaryDataUnmount
buYbeLOGWmA sceAppContentTemporaryDataMount2
# libSceContentDelete
5XLSih32qHA sceContentDeleteTerminate
pXJh3aVk8Ks sceContentDeleteById
qC3QW+AltHs sceContentDeleteByPath
zoxb0wEChEM sceContentDeleteInitialize
# libSceContentExport
+KDWny9Y-6k sceContentExportTerm
0GnN4QCgIfs sceContentExportInit2
AOWqIYsgVHs sceContentExportFromData
FCygF4Ec4so sceContentExportStart
OWCJUmrWH1g sceContentExportFromFile
eRJv4xU7pGU sceContentExportGetProgress
efqHe7wPRbs sceContentExportCancel
mbakKLPSO4o sceContentExportFromFileWithThumbnail
tb3cZTCl8Ps sceContentExportFinish
uZTQHI50WpY sceContentExportFromDataWithThumbnail
# libSceContentSearch
-YbpaF0XS-I sceContentSearchCloseMetadata
1xSZodB2geA sceContentSearchTerm
2Dj56xvkS5M sceContentSearchGetContentIdByAvContentCreatedEvent
EbNufIY0Zvc sceContentSearchGetMetadataFieldInfo
G13HF1z-e4o sceContentSearchOpenMetadata
HzLPPnuWTek sceContentSearchAddAvContentCreatedEventCondition
PD5bnBTsv6Y sceContentSearchGetContentLastUpdateId
TEW3IKxYfXc sceContentSearchSearchContent
bjAlYWwRTJA sceContentSearchOpenMetadataByContentId
cb8Dl69jk7A sceContentSearchDisableAvContentCreatedEvent
dPj4ZtRcIWk sceContentSearchInit
i2ZMZKwZpWs sceContentSearchGetTotalContentSize
o-RBPV0qr8c sceContentSearchGetNumOfContent
ruNe-FgCzO8 sceContentSearchGetMetadataValue
vlOqhFPOLDs sceContentSearchEnableAvContentCreatedEvent
# libScePfs
-yzonNNSV8E scePfsGetSingleBlockReadCommand
FpmVtvy8tYo scePfsGetBlockTableReadCommand
LJTtb7xKzkY scePfsPread
P6Yiba6u7cc scePfsPreadDecompressBlock
QiJFZRyM1dE scePfsGetUncompressedSize
V7BQGxc2Ll0 scePfsGetWorkBufferSize
YyWt34TCzw4 scePfsValidate
qFujOxHUDSs scePfsGetHeaderReadCommand
smQl0Bi1Ick scePfsGetPreadBlockRange
# libScePlayGo
-Q1-u1a7p0g scePlayGoPrefetch
-RJWNMK3fC8 scePlayGoGetProgress
3OMbYZBaa50 scePlayGoGetLanguageMask
4AAcTU9R3XM scePlayGoSetInstallSpeed
73fF1MFU8hA scePlayGoGetChunkId
8-e7E989rCU scePlayGoGetInstallChunkId
HVAa744ecdw scePlayGoPrefetchOptionalChunk
IfiN+-oeVWI scePlayGoGetSupportedOptionalChunk
M1Gma1ocrGE scePlayGoOpen
MPe0EeBGM-E scePlayGoTerminate
Nn7zKwnA5q0 scePlayGoGetToDoList
Uco1I0dlDi8 scePlayGoClose
g4AZyxpSAlA scePlayGoGetOptionalChunk
gUPGiOQ1tmQ scePlayGoSetToDoList
rvBSfTimejE scePlayGoGetInstallSpeed
ts6GlZOKRrE scePlayGoInitialize
uWIYLFkkwqk scePlayGoGetLocus
v6EZ-YWRdMs scePlayGoGetEta
# libScePlayGo_nosubmission
D6HEAnaC9zQ scePlayGoSnapshot
RHXYK0iDICM scePlayGoRequestNextChunk
# libSceSaveData
2mfSRGdshtk sceSaveDataConvert
65VH0Qaaz6s sceSaveDataGetMountInfo
85zul--eGXs sceSaveDataSetParam
8EA5OMIL1lQ sceSaveDataGetConvertProgress
PHnuI4LhuRk sceSaveDataDirNameSearch2
QwOO7vegnV8 sceSaveDataGetSaveDataMemory2
RjMlsR8EXrw sceSaveDataTransferringMountPs4
S1GkePI17zQ sceSaveDataDelete
TywrFKCoLGY sceSaveDataInitialize3
WAzWTZm1H+I sceSaveDataTransferringMount
X4MYzukPc3g sceSaveDataDirNameSearchPs4
XgvSuIdnMlw sceSaveDataGetParam
Z7z6HXWORJY sceSaveDataSaveIconByPath
ZP4e7rlzOUk sceSaveDataMount3
c88Yy54Mx0w sceSaveDataSaveIcon
cGjO3wM3V28 sceSaveDataLoadIcon
cduy9v4YmT4 sceSaveDataSetSaveDataMemory2
dyIhnXq-0SM sceSaveDataDirNameSearch
e6y3WMBYbiM sceSaveDataCancel
gjRZNnw0JPE sceSaveDataCreateTransactionResource
ie7qhZ4X0Cc sceSaveDataCommit
j8xKtiFj0SY sceSaveDataGetEventResult
lJUQuaKqoKY sceSaveDataDeleteTransactionResource
oQySEUfgXRA sceSaveDataSetupSaveDataMemory2
sDCBrmc61XU sceSaveDataPrepare
uW4vfTwMQVo sceSaveDataUmount2
wiT9jeC7xPw sceSaveDataSyncSaveDataMemory
yKDy8S5yLA0 sceSaveDataTerminate
z1JA8-iJt3k sceSaveDataBackup
8 stub libraries, 100 symbols
