nid,nid_u64,primary_name
icjSnOz1MYY,2820179652462822936,_ZN3sce2Np9CppWebApi6Common6VectorINS1_14SessionManager2V116InitialJoinStateEE5beginEv
YFqTNZQwPwM,9325350461785570316,_ZNK7WebCore6Quirks49isTouchBarUpdateSupressedForHiddenContentEditableEv
3BNu-q4BYSQ,8092330790958236816,_ZN3sce2Np9CppWebApi6Common12IntrusivePtrINS1_7Matches2V113ErrorResponseEE5resetEPS6_
a-oA44WAFhU,12675385060023621716,_ZTVN9Inspector28InspectorScriptProfilerAgentE
ePJnhLB2eu4,16413824120327367608,mono_metadata_signature_equal
wRmWjXuPRHc,317040011452944860,_ZNK7WebCore9FrameView18layoutViewportRectEv
uPS6yM1BjOo,16416442128164860840,_ZN7WebCore19JSHTMLSelectElement10putByIndexEPN3JSC6JSCellEPNS1_14JSGlobalObjectEjNS1_7JSValueEb
hew0fReI2H0,1707095106255020532,mblen
kgOFpH7pstY,5192112236652841816,__pw_match_entry
wwXxn5BxvqQ,871383298491218576,sceAudioTvCalibrationDCACInitialize
YCLMMkF1UrA,9262550698561981120,sceSndzSoundOptionSetupByTypeId
g4GeZuGDulw,1010628875267271024,_ZNK3sce2Np9CppWebApi6Common6VectorImE3endEv
TGTHFnXjdAU,3572230101628997652,_ZN3sce2Np9CppWebApi6Common12IntrusivePtrINS1_21AdvancedPlayerProfile2V127ConnectionQualityPropertiesEEC1EPS6_PNS2_10LibContextE
1bGjhJ77Y-s,6252841342690234348,WKPreferencesGetPrivateBrowsingEnabled
dOkZKbWKlh8,15250424905903790204,_ZN8meta_gen14ImageRetriever18IsUseThumbnailFileEv
XwLA5cTHjt4,8938241832842574712,__gxx_personality_v0
yCYP+kn2yJc,2348697476302316124,.LCPI366_4
pYtwCorMsKs,10821516766987076268,_Z6DELETEIN3sce2Np9CppWebApi6Common6VectorINS3_12IntrusivePtrINS2_14SessionManager2V111GameSessionEEEEEEiRNS3_10LibContextEPT_
vp+HJ4oEa7E,18049895822150184644,HmacKey
i5CtXny8nS4,3333426209579234488,mono_aot_Sce_PlayStation_HighLevel_UI2Platformunbox_trampolines_end
dHJseF8Nqxs,15116809206255496300,_ZNK3sce2Np9CppWebApi6Common13ConstIteratorINS2_12IntrusivePtrINS1_11Matchmaking2V118PlayerForOfferReadEEEEdeEv
db397aKWSfw,15490121806741317616,mono_aot_Sce_PlayStation_PUIPlatformplt
1cD55NTeA70,6270109726176448244,_ZN3sce11TextureTool11MippedImageC1ERKNS0_4InfoE
V7vW+Pce4Tk,6840787393213859044,_ZN3sce11TextureTool3Raw15swizzle_5_1_6_7EPDv2_xj
Q2UmHdK04c8,978574657170147132,sceNpTusAddAndGetVariableAsync
1OzPy118+5E,6031233790464224836,_ZN3sce3Gnm17DrawCommandBuffer17readCpPerfCounterEjPv
hPLDMyuKevY,1426247780227738584,_ZNK3sce2Np9CppWebApi6Common11TransactionINS2_12IntrusivePtrINS1_14SessionManager2V129GetPlayerSessionsResponseBodyEEENS2_11EmptyHeaderEE11getResponseERS8_
rDpDyVRTdSY,12747736873201161368,_ZNK3sce2Np9CppWebApi6Common6VectorINS1_7Matches2V112UpdateStatusEE4sizeEv
DnNUKweAebs,4165073930555614956,sceVcodecOpenHwBudgetByAppid
1H-LQ4r7-F8,5908490775023317372,sceFsUfsRecryptIsUnfinished
XJT39Czi22Q,8238174230849219984,_ZN7WebCore15JSFetchResponseC1ERKS0_
Ds-BHoPDTHY,4269135894055563736,sceRegMgrDrvDataCheckGet
0-tMBodfUxo,5759312387198766184,sceSndzSalMixerSetup
f4+NSTGTZTQ,18320138766251824336,_ZN3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_21AdvancedPlayerProfile2V119NatConnectivityFromEEEE6insertENS2_13ConstIteratorIS8_EERKS8_RSB_
AVEEb57HhUw,379447778412991792,FT_Glyph_Transform
usHTMoFoBTM,16935589354311521484,sceKernelEnableDmemAliasing
Wtkc1OeMngI,7738436862702942216,_ZN3sce13AgcGpuAddress92detile_macro_00_00_00_00_X0_Y0_X1_Y1_S2xX3xY3_S1xX4xY4_S0xY5xX6_S3xX5xY6_Y3_X4_Y2xY6_X2xY7_5EPhPKhRKNS0_20ComputeOffsetContextEjNS0_7simd256EjRjRS7_
KGjbX5hBGc8,11647273450871220028,_ZN3NCA7Reverb114CreateInstanceEPv
